Measure,Value,Interpretation
Instances with disagreement,67.1%,Social perception disagreement is the norm
Detection entropy (Task 1.1),mean 0.547,Moderate disagreement at detection level
Intent entropy among YES (Task 1.2),mean 0.876,Near-maximum disagreement at interpretation level
Categorization Jaccard among YES (Task 1.3),mean 0.382,Low overlap in category assignment
Gender effect on detection,p = 0.142,No gender difference at detection level
Gender effect on MISOGYNY-NON-SEXUAL-VIOLENCE,"p_adj = 0.005, OR = 1.11",Female annotators perceive more misogyny non sexual violence
Gender-aligned 3-3 splits,10.1%,Gender accounts for little of the detection disagreement
Gender effect on intent (Task 1.2),"min p_adj = 0.001, max |h| = 0.048",No gender structuring at intent attribution (cognitive ToM)
Gender-aligned intent splits,44.8% of 2579,Intent disagreement is not organised along gender lines
